Eligmodontia typus
Calomys tocantinsi
Calomys fecundus
Abrothrix lanosus
Bibimys chacoensis
Bibimys torresi
Synaptomys cooperi
Lemmiscus curtatus
Akodon serrensis
Akodon spegazzinii
Akodon iniscatus
Bibimys labiosus
Cricetulus tibetanus
Cricetulus lama
Oligoryzomys delticola
Akodon kofordi
Abrothrix hershkovitzi
Abrothrix markhami
Cricetulus kamensis
Alticola stoliczkanus
Akodon mollis
Akodon subfuscus
Cricetulus migratorius
Geoxus valdivianus
Eothenomys custos
Necromys benefactus
Nesoryzomys fernandinae
Akodon dayi
Arborimus pomo
Akodon mystax
Akodon oenos
Akodon paranaensis
Akodon pervalens
Akodon reigi
Andalgalomys olrogi
Necromys lactens
Akodon molinae
Handleyomys rhabdops
Handleyomys saturatior
Handleyomys alfaroi
Podoxymys roraimae
Abrothrix jelskii
Oligoryzomys eliurus
Akodon siberiae
Akodon montensis
Oxymycterus inca
Thomasomys ucucha
Thomasomys laniger
Alticola macrotis
Otonyctomys hatti
Oxymycterus hispidus
Blarinomys breviceps
Rheomys underwoodi
Cerradomys scotti
Cerradomys andersoni
Aepeomys reigi
Aepeomys lugens
Alticola roylei
Necromys punctulatus
Alticola argentatus
Neodon juldaschi
Auliscomys sublimis
Rheomys raptor
Abrothrix longipilis
Akodon juninensis
Akodon latebricola
Akodon orophilus
Akodon surdus
Akodon sylvanus
Akodon torques
Neusticomys monticolus
Akodon cursor
Calomys expulsus
Necromys lasiurus
Ellobius talpinus
Akodon varius
Habromys chinanteco
Habromys lophurus
Habromys simulatus
Neusticomys mussoi
Neusticomys peruviensis
Rheomys mexicanus
Rheomys thomasi
Lasiopodomys brandtii
Necromys lenguarum
Graomys edithae
Habromys ixtlani
Necromys obscurus
Thomasomys caudivarius
Oecomys bicolor
Melanomys caliginosus
Cerradomys maracajuensis
Cerradomys marinhus
Rhipidomys macconnelli
Oxymycterus paramensis
Chionomys nivalis
Alticola albicaudus
Alticola olchonensis
Akodon neocenus
Akodon simulator
Phyllotis bonariensis
Phyllotis haggardi
Phyllotis wolffsohni
Lasiopodomys fuscus
Eothenomys proditor
Handleyomys rostratus
Neusticomys ferreirai
Brucepattersonius paradisus
Brucepattersonius griserufescens
Brucepattersonius guarani
Brucepattersonius soricinus
Brucepattersonius misionensis
Brucepattersonius igniventris
Brucepattersonius albinasus
Brucepattersonius iheringi
Neodon forresti
Irenomys tarsalis
Phyllotis osilae
Neotomodon alstoni
Necromys urichi
Calomys callosus
Phyllotis osgoodi
Pseudoryzomys simplex
Neodon sikimensis
Eothenomys chinensis
Proedromys liangshanensis
Alticola semicanus
Lasiopodomys mandarinus
Oxymycterus quaestor
Alticola barakshin
Alticola lemminus
Alticola montosa
Alticola tuvinicus
Cansumys canus
Cricetulus alticola
Eolagurus przewalskii
Neodon irene
Oligoryzomys vegetus
Nephelomys devius
Proedromys bedfordi
Rhipidomys emiliae
Eothenomys wardi
Rhipidomys modicus
Eothenomys miletus
Nephelomys meridensis
Oecomys catherinae
Rhipidomys macrurus
Eothenomys cachinus
Oecomys auyantepui
Phyllotis limatus
Nectomys apicalis
Thomasomys cinnameus
Oecomys concolor
Wiedomys cerradensis
Wiedomys pyrrhorhinos
Wilfredomys oenax
Neusticomys oyapocki
Neusticomys venezuelae
Necromys temchuki
Abrothrix illuteus
Allocricetulus curtatus
Auliscomys pictus
Habromys schmidlyi
Habromys delicatulus
Calomys venustus
Handleyomys fuscatus
Phyllotis anitae
Cerradomys subflavus
Chibchanomys orcesi
Alticola strelzowi
Chibchanomys trichotis
Osgoodomys banderanus
Handleyomys chapmani
Handleyomys melanotis
Sigmodontomys aphrastus
Reithrodon typicus
Nelsonia goldmani
Sigmodontomys alfari
Akodon dolores
Phaiomys leucurus
Chelemys megalonyx
Phyllotis caprinus
Phyllotis darwini
Akodon toba
Zygodontomys brevicauda
Phyllotis xanthopygus
Hyperacrius wynnei
Phyllotis andium
Melanomys robustulus
Melanomys zunigae
Lenoxus apicalis
Thomasomys niveipes
Transandinomys talamancae
Euryoryzomys nitidus
Dinaromys bogdanovi
Megadontomys cryophilus
Megadontomys nelsoni
Rhipidomys latimanus
Nephelomys keaysi
Pearsonomys annectens
Galenomys garleppi
Nectomys palmipes
Euryoryzomys emmonsae
Nyctomys sumichrasti
Akodon aerosus
Transandinomys bolivaris
Ellobius tancrei
Handleyomys intectus
Euryoryzomys russatus
Nephelomys caracolus
Nephelomys auriventer
Mindomys hammondi
Euryoryzomys lamia
Nephelomys levipes
Oreoryzomys balneator
Eremoryzomys polius
Volemys millicens
Volemys musseri
Juscelinomys huanchacae
Juscelinomys guaporensis
Microakodontomys transitorius
Tapecomys primus
Chelemys delfini
Euryoryzomys legatus
Nephelomys albigularis
Euryoryzomys macconnelli
Oecomys mamorae
Abrawayaomys ruschii
Oxymycterus amazonicus
Oxymycterus josei
Oxymycterus caparoae
Neotomys ebriosus
Aegialomys galapagoensis
Anotomys leander
Ichthyomys hydrobates
Delomys collinus
Delomys dorsalis
Oxymycterus akodontius
Oxymycterus angularis
Oxymycterus hucucha
Oxymycterus nasutus
Oxymycterus hiska
Graomys griseoflavus
Phyllotis magister
Nesoryzomys narboroughi
Ichthyomys pittieri
Andinomys edax
Graomys centralis
Loxodontomys pikumche
Loxodontomys micropus
Auliscomys boliviensis
Chelemys macronyx
Thomasomys praetor
Thomasomys vulcani
Thomasomys macrotis
Thomasomys popayanus
Thomasomys onkiro
Thomasomys apeco
Thomasomys hudsoni
Oecomys cleberi
Oecomys flavicans
Oecomys paricola
Oecomys phaeotis
Oecomys rex
Oecomys roberti
Oecomys rutilus
Oecomys speciosus
Oecomys superans
Oecomys trinitatis
Ellobius alaicus
Prometheomys schaposchnikowi
Oxymycterus dasytrichus
Euneomys chinchilloides
Zygodontomys brunneus
Rhipidomys cariri
Rhipidomys gardneri
Thomasomys vestitus
Thomasomys baeops
Thomasomys cinereiventer
Thomasomys cinereus
Thomasomys daphne
Thomasomys eleusis
Thomasomys gracilis
Thomasomys hylophilus
Thomasomys incanus
Thomasomys ischyrus
Thomasomys kalinowskii
Thomasomys ladewi
Thomasomys monochromos
Thomasomys notatus
Thomasomys oreas
Thomasomys paramorum
Thomasomys pyrrhonotus
Thomasomys rhoadsi
Thomasomys rosalinda
Thomasomys silvestris
Thomasomys taczanowskii
Thomasomys erro
Reithrodon auritus
Aegialomys xanthaeolus
Ellobius fuscocapillus
Nelsonia neotomodon
Rhipidomys leucodactylus
Oxymycterus delator
Euneomys mordax
Oxymycterus rufus
Euneomys petersoni
Euneomys fossor
Oxymycterus roberti
Ichthyomys stolzmanni
Punomys kofordi
Punomys lemminus
Habromys lepturus
Ototylomys phyllotis
Thomasomys aureus
Phyllotis definitus
Rhipidomys austrinus
Rhipidomys caucensis
Rhipidomys couesi
Rhipidomys fulviventer
Rhipidomys nitela
Rhipidomys ochrogaster
Rhipidomys venustus
Rhipidomys wetzeli
Delomys sublineatus
Rhipidomys venezuelae
Chionomys gud
Chionomys roberti
Phaenomys ferrugineus
Suncus fellowesgordoni
Suncus madagascariensis
Suncus remyi
Suncus infinitesimus
Suncus varilla
Suncus malayanus
Suncus megalura
Suncus aequatorius
Suncus mertensi
Suncus lixus
Suncus dayi
Suncus stoliczkanus
Philander andersoni
Philander mondolfii
Philander deltae
Philander olrogi
Philander frenatus
Philander mcilhennyi
Sigmodon alstoni
Sigmodon peruanus
Sigmodon hirsutus
Sigmodon mascotensis
Sigmodon ochrognathus
Sigmodon leucotis
Sigmodon inopinatus
Sigmodon toltecus
Sigmodon alleni
Sigmodon planifrons
Sigmodon fulviventer
Sigmodon arizonae
Ctenomys goodfellowi
Ctenomys rionegrensis
Ctenomys bergi
Ctenomys minutus
Ctenomys lewisi
Ctenomys occultus
Ctenomys pundti
Ctenomys haigi
Ctenomys dorsalis
Ctenomys frater
Ctenomys mendocinus
Ctenomys latro
Ctenomys porteousi
Ctenomys bonettoi
Ctenomys torquatus
Ctenomys pearsoni
Ctenomys maulinus
Ctenomys tucumanus
Ctenomys argentinus
Ctenomys saltarius
Ctenomys validus
Ctenomys leucodon
Ctenomys tuconax
Ctenomys dorbignyi
Ctenomys johannis
Ctenomys pilarensis
Ctenomys coyhaiquensis
Ctenomys coludo
Ctenomys osvaldoreigi
Ctenomys flamarioni
Ctenomys fochi
Ctenomys juris
Ctenomys lami
Ctenomys scagliai
Ctenomys famosus
Ctenomys sylvanus
Ctenomys fodax
Ctenomys roigi
Ctenomys yolandae
Ctenomys budini
Ctenomys viperinus
Ctenomys tulduco
Ctenomys magellanicus
Ctenomys fulvus
Ctenomys emilianus
Ctenomys knighti
Ctenomys opimus
Ctenomys steinbachi
Ctenomys azarae
Ctenomys colburni
Ctenomys perrensi
Ctenomys pontifex
Ctenomys sericeus
Ctenomys sociabilis
Ctenomys brasiliensis
Ctenomys australis
Ctenomys boliviensis
Ctenomys peruanus
Ctenomys conoveri
Scapanus townsendii
Scapanus latimanus
Zapus princeps
Zapus trinotatus
Dendromus mesomelas
Dendromus insignis
Dendromus lovati
Prionomys batesi
Dendromus nyikae
Malacothrix typica
Petromyscus collinus
Steatomys krebsii
Petromyscus monticularis
Voalavo gymnocaudus
Steatomys jacksoni
Voalavo antsahabensis
Monticolomys koopmani
Macrotarsomys bastardi
Steatomys pratensis
Steatomys opimus
Steatomys caurinus
Petromyscus shortridgei
Megadendromus nikolausi
Macrotarsomys ingens
Eliurus minor
Eliurus webbi
Eliurus myoxinus
Eliurus petteri
Beamys hindei
Eliurus grandidieri
Eliurus danieli
Eliurus antsingy
Eliurus tanala
Brachyuromys ramirohitra
Brachyuromys betsileoensis
Gymnuromys roberti
Meriones persicus
Meriones tristrami
Meriones vinogradovi
Meriones tamariscinus
Meriones rex
Meriones sacramenti
Meriones meridianus
Meriones chengi
Meriones dahli
Meriones hurrianae
Meriones shawi
Meriones grandis
Meriones arimalius
Meriones zarudnyi
Thomomys monticola
Thomomys mazama
Thomomys umbrinus
Thomomys idahoensis
Thomomys clusius
Thomomys townsendii
Thomomys bulbivorus
Crateromys heaneyi
Solomys ponceleti
Uromys imperator
Crateromys schadenbergi
Mallomys rothschildi
Mallomys aroaensis
Phloeomys pallidus
Phloeomys cumingi
Mallomys istapantap
Mallomys gunung
Papagomys armandvillei
Onychomys arenicola
Desmodilliscus braueri
Microdillus peeli
Lophuromys melanonyx
Microhydromys musseri
Microhydromys richardsoni
Haeromys pusillus
Haeromys margarettae
Lorentzimys nouhuysi
Hylomyscus parvus
Haeromys minahassae
Pseudohydromys murinus
Heimyscus fumosus
Leggadina lakedownensis
Muriculus imberbis
Pseudohydromys fuscus
Hylomyscus stella
Hylomyscus alleni
Hylomyscus grandis
Apomys musculus
Pseudohydromys ellermani
Pseudohydromys occidentalis
Hylomyscus aeta
Leggadina forresti
Hylomyscus carillus
Vernaya fulva
Myomyscus yemeni
Gerbillurus paeba
Brachiones przewalskii
Myomyscus brockmani
Pseudohydromys germani
Coccymys albidens
Coccymys ruemmleri
Gerbillurus tytonis
Millardia gleadowi
Apomys littoralis
Lophuromys nudicaudus
Apomys gracilirostris
Apomys camiguinensis
Hylomyscus baeri
Paraleptomys wilhelmina
Apomys datae
Apomys hylocetes
Apomys insignis
Apomys sacobianus
Apomys abrae
Apomys microdon
Gerbillurus vallinus
Archboldomys musseri
Archboldomys kalinga
Archboldomys luzonensis
Uranomys ruddi
Hylomyscus denniae
Lophuromys rahmi
Gerbillurus setzeri
Aethomys granti
Zyzomys argurus
Myomyscus verreauxii
Pogonomys sylvestris
Mastomys natalensis
Lophuromys woosnami
Crunomys celebensis
Crunomys fallax
Crunomys suncoides
Crunomys melanius
Leptomys ernstmayri
Hybomys lunaris
Dephomys defua
Xeromys myoides
Chiruromys vates
Mastomys shortridgei
Pogonomys macrourus
Taterillus arenarius
Paramelomys rubex
Chiruromys lamia
Melomys fraterculus
Stenocephalemys albipes
Stenocephalemys ruppi
Melasmothrix naso
Hybomys planifrons
Taterillus gracilis
Ammodillus imbellis
Pelomys minor
Eropeplus canus
Pogonomys championi
Taterillus petteri
Taterillus emini
Niviventer eha
Mastomys coucha
Zelotomys woosnami
Lophuromys cinereus
Lophuromys roseveari
Lophuromys dieterleni
Lophuromys huttereri
Maxomys whiteheadi
Hybomys univittatus
Desmodillus auricularis
Abeomelomys sevia
Leimacomys buettneri
Paraleptomys rufilatus
Zelotomys hildegardeae
Taterillus tranieri
Lamottemys okuensis
Sekeetamys calurus
Lophuromys flavopunctatus
Deomys ferrugineus
Hadromys yunnanensis
Dasymys montanus
Dasymys rufulus
Hadromys humei
Cremnomys cutchicus
Pelomys isseli
Hybomys trivirgatus
Melomys rufescens
Taterillus pygargus
Golunda ellioti
Thamnomys venustus
Aethomys namaquensis
Colomys goslingi
Lophuromys sikapusi
Malacomys edwardsi
Aethomys bocagei
Aethomys thomasi
Diplothrix legata
Hybomys basilii
Hybomys badius
Lophuromys medicaudatus
Malacomys cansdalei
Nesokia bunnii
Otomys anchietae
Pelomys campanae
Nesoromys ceramicus
Tarsomys echinatus
Taterillus congicus
Taterillus lacustris
Lophuromys chrysopus
Lophuromys brevicaudus
Otomys cuanzensis
Otomys lacustris
Otomys barbouri
Myomyscus angolensis
Lophuromys eisentrauti
Mastomys erythroleucus
Hapalomys delacouri
Limnomys bryophilus
Limnomys sibuanus
Niviventer confucianus
Millardia meltada
Melomys frigicola
Melomys lutillus
Thamnomys schoutedeni
Tarsomys apoensis
Niviventer langbianis
Hapalomys longicaudatus
Melomys capensis
Margaretamys beccarii
Stochomys longicaudatus
Melomys obiensis
Melomys cervinipes
Melomys burtoni
Niviventer cremoriventer
Otomys occidentalis
Pelomys hopkinsi
Thamnomys kempi
Nilopegamys plumbeus
Aethomys nyikae
Cremnomys elvira
Chiromyscus chiropus
Protochromys fellowsi
Niviventer rapit
Leptomys signatus
Paramelomys moncktoni
Niviventer coninga
Aethomys chrysophilus
Melomys dollmani
Niviventer culturatus
Niviventer fulvescens
Dasymys foxi
Dasymys nudipes
Paramelomys levipes
Aethomys silindensis
Aethomys stannarius
Leptomys elegans
Tokudaia osimensis
Maxomys musschenbroekii
Niviventer lepturus
Melomys paveli
Melomys arcium
Melomys cooperae
Melomys howi
Melomys bannisteri
Melomys fulgens
Oenomys ornatus
Paramelomys platyops
Stenocephalemys griseicauda
Melomys bougainville
Niviventer hinpoon
Maxomys bartelsii
Niviventer cameroni
Niviventer fraternus
Oenomys hypoxanthus
Desmomys yaldeni
Aethomys kaiseri
Desmomys harringtoni
Maxomys inas
Paramelomys mollis
Mastomys kollmannspergeri
Millardia kathleenae
Zyzomys maini
Pogonomys fergussoniensis
Zyzomys woodwardi
Pogonomys loriae
Malacomys longipes
Margaretamys parvus
Paramelomys gressitti
Paramelomys steini
Melomys aerosus
Niviventer brahma
Lophuromys luteogaster
Allactaga firouzi
Allactaga severtzovi
Allactaga euphratica
Allactaga major
Allactaga williamsi
Allactaga tetradactyla
Allactaga vinogradovi
Allactaga balikunica
Allactaga bullata
Allactaga hotsoni
Allactaga sibirica
Antechinus adustus
Antechinus subtropicus
Antechinus godmani
Gerbilliscus kempi
Gerbilliscus guineae
Gerbilliscus inclusus
Gerbilliscus nigricaudus
Gerbilliscus phillipsi
Mus mahomet
Mus tenellus
Mus setulosus
Mus phillipsi
Mus triton
Mus booduga
Mus spicilegus
Mus caroli
Mus macedonicus
Mus spretus
Mus cervicolor
Mus vulcani
Mus cookii
Mus crociduroides
Mus goundae
Mus neavei
Mus oubanguii
Mus fragilicauda
Mus cypriacus
Mus saxicola
Mus famulus
Mus pahari
Mus platythrix
Mus shortridgei
Mus mayori
Mus callewaerti
Mus fernandoni
Mus mattheyi
Mus sorella
Proechimys longicaudatus
Proechimys brevicauda
Proechimys chrysaeolus
Proechimys decumanus
Proechimys goeldii
Proechimys hoplomyoides
Proechimys magdalenae
Proechimys mincae
Proechimys oconnelli
Proechimys roberti
Proechimys poliopus
Proechimys quadruplicatus
Proechimys simonsi
Proechimys steerei
Proechimys urichi
Proechimys trinitatus
Proechimys echinothrix
Proechimys kulinae
Proechimys pattoni
Proechimys gardneri
Proechimys canicollis
Proechimys cuvieri
Proechimys guairae
Praomys derooi
Praomys daltoni
Praomys delectorum
Praomys hartwigi
Praomys obscurus
Praomys jacksoni
Praomys morio
Praomys lukolelae
Praomys minor
Praomys mutoni
Praomys degraaffi
Praomys petteri
Praomys verschureni
Praomys misonnei
Praomys rostratus
Peromyscus guardia
Peromyscus fraterculus
Peromyscus caniceps
Peromyscus levipes
Peromyscus pseudocrinitus
Peromyscus sejugis
Peromyscus eva
Peromyscus beatae
Peromyscus yucatanicus
Peromyscus gratus
Peromyscus attwateri
Peromyscus difficilis
Peromyscus interparietalis
Peromyscus nasutus
Peromyscus keeni
Peromyscus dickeyi
Peromyscus stirtoni
Peromyscus furvus
Peromyscus schmidlyi
Peromyscus sagax
Peromyscus aztecus
Peromyscus hylocetes
Peromyscus hooperi
Peromyscus spicilegus
Peromyscus pectoralis
Peromyscus melanotis
Peromyscus guatemalensis
Peromyscus bullatus
Peromyscus gymnotis
Peromyscus melanophrys
Peromyscus melanurus
Peromyscus merriami
Peromyscus ochraventer
Peromyscus perfulvus
Peromyscus polius
Peromyscus simulus
Peromyscus winkelmanni
Peromyscus zarhynchus
Peromyscus madrensis
Peromyscus mexicanus
Peromyscus mayensis
Peromyscus slevini
Peromyscus stephani
Peromyscus melanocarpus
Peromyscus mekisturus
Peromyscus megalops
Peromyscus grandis
Zyzomys pedunculatus
Melomys rubicola
Niviventer niviventer
Otomys typus
Otomys angoniensis
Niviventer excelsior
Otomys saundersiae
Niviventer tenaster
Melomys leucogaster
Chiruromys forbesi
Otomys sloggetti
Pithecheir parvus
Pithecheir melanurus
Melomys talaudium
Melomys caurinus
Otomys tropicalis
Otomys burtoni
Mylomys rex
Mylomys dybowskii
Bunomys chrysocomus
Pogonomelomys mayeri
Mastomys pernanus
Mastomys awashensis
Otomys irroratus
Chrotomys silaceus
Mammelomys lanosus
Otomys denti
Bunomys coelestis
Pelomys fallax
Margaretamys elegans
Paulamys naso
Rhynchomys isarogensis
Carpomys melanurus
Zyzomys palatalis
Carpomys phaeurus
Otomys unisulcatus
Bunomys andrewsi
Srilankamys ohiensis
Mastacomys fuscus
Parotomys littledalei
Dasymys incomtus
Parotomys brantsii
Bunomys fratrorum
Bunomys prolatus
Tokudaia tokunoshimensis
Aethomys ineptus
Pogonomelomys brassi
Chrotomys sibuyanensis
Maxomys dollmani
Maxomys hylomyoides
Chrotomys gonzalesi
Aethomys hindei
Sommeromys macrorhinos
Anonymomys mindorensis
Dacnomys millardi
Diomys crumpi
Baiyankamys habbema
Baiyankamys shawmayeri
Palawanomys furvus
Tateomys macrocercus
Tateomys rhinogradoides
Tryphomys adustus
Vandeleuria nolthenii
Vandeleuria oleracea
Tonkinomys daovantieni
Vandeleuria nilagirica
Saxatilomys paulinae
Pithecheirops otion
Komodomys rintjanus
Stenocephalemys albocaudata
Paramelomys naso
Melomys matambuai
Maxomys moi
Maxomys wattsi
Millardia kondana
Niviventer andersoni
Uromys hadrourus
Lenothrix canus
Maxomys rajah
Paramelomys lorentzii
Otomys laminatus
Lenomys meyeri
Maxomys surifer
Chrotomys mindorensis
Chrotomys whiteheadi
Maxomys inflatus
Rhynchomys tapulao
Rhynchomys banahao
Maxomys alticola
Maxomys baeodon
Maxomys ochraceiventer
Maxomys panglima
Pogonomelomys bruijnii
Crossomys moncktoni
Batomys granti
Bunomys penitus
Conilurus penicillatus
Tokudaia muenninki
Batomys dentatus
Batomys russatus
Nesokia indica
Batomys salomonseni
Rhynchomys soricoides
Kadarsanomys sodyi
Maxomys pagensis
Maxomys hellwaldii
Mammelomys rattoides
Bandicota bengalensis
Berylmys berdmorei
Madromys blanfordi
Bandicota savilei
Echiothrix leucura
Echiothrix centrosa
Abditomys latidens
Berylmys mackenziei
Berylmys manipulus
Leopoldamys milleti
Leopoldamys edwardsi
Taeromys arcuatus
Taeromys callitrichus
Taeromys hamatus
Taeromys punicans
Taeromys taerae
Taeromys microbullatus
Taeromys celebensis
Paruromys dominator
Leopoldamys sabanus
Sundamys muelleri
Macruromys elegans
Macruromys major
Berylmys bowersi
Leopoldamys ciliatus
Sundamys maxi
Leopoldamys neilli
Mastomys huberti
Bullimus bagobus
Solomys salebrosus
Sundamys infraluteus
Uromys rex
Bullimus gamay
Crateromys australis
Bullimus luzonicus
Anisomys imitator
Parahydromys asper
Solomys sapientis
Leopoldamys siporanus
Bandicota indica
Uromys porculus
Uromys emmae
Uromys siebersi
Uromys boeadii
Uromys neobritannicus
Uromys caudimaculatus
Solomys salamonis
Uromys anak
Crateromys paulus
Hyomys goliath
Hyomys dammermani
Xenuromys barbatus
Marmosops parvidens
Thylamys pallidior
Gracilinanus dryas
Marmosops bishopi
Gracilinanus aceramarcae
Thylamys velutinus
Chacodelphys formosa
Gracilinanus agilis
Gracilinanus marica
Marmosops pinheiroi
Marmosops cracens
Thylamys karimii
Thylamys elegans
Marmosops invictus
Gracilinanus microtarsus
Thylamys tatei
Thylamys venustus
Thylamys pusillus
Marmosops handleyi
Thylamys macrurus
Marmosops creightoni
Marmosops ocellatus
Marmosops neblina
Marmosops paulensis
Marmosops noctivagus
Marmosops impavidus
Thylamys sponsorius
Thylamys cinderella
Marmosops fuscatus
Tlacuatzin canescens
Marmosops juninensis
Micoureus phaeus
Marmosops incanus
Lestodelphys halli
Micoureus constantiae
Murexia rothschildi
Murexia naso
Murexia habbema
Murexia melanurus
Microperoryctes papuensis
Microperoryctes murina
Microperoryctes aplini
Microperoryctes longicauda
Rhynchomeles prattorum
Echymipera davidi
Echymipera kalubu
Acomys wilsoni
Acomys cineraceus
Acomys louisae
Acomys subspinosus
Acomys kempi
Acomys percivali
Acomys ignitus
Acomys spinosissimus
Acomys nesiotes
Acomys airensis
Acomys seurati
Acomys russatus
Acomys cilicicus
Acomys dimidiatus
Acomys minous
Acomys mullah
Acomys johannis
Arvicola scherman
Arvicola sapidus
Pseudantechinus mimulus
Pseudantechinus bilarni
Pseudantechinus roryi
Pseudantechinus woolleyae
Gerbilliscus boehmi
Gerbilliscus leucogaster
Gerbilliscus brantsii
Gerbilliscus robustus
Gerbilliscus gambiana
Isoodon auratus
Gracilinanus emiliae
Notomys cervinus
Notomys aquilo
Notomys fuscus
Tylomys mirae
Tylomys fulviventer
Tylomys panamensis
Tylomys watsoni
Tylomys bullaris
Tylomys tumbalensis
Planigale ingrami
Mesembriomys macrurus
Monodelphis maraxina
Monodelphis reigi
Monodelphis ronaldi
Monodelphis handleyi
Monodelphis iheringi
Monodelphis osgoodi
Monodelphis theresa
Monodelphis scalops
Monodelphis kunsi
Monodelphis americana
Monodelphis adusta
Monodelphis dimidiata
Monodelphis rubida
Monodelphis sorex
Monodelphis emiliae
Monodelphis unistriata
Monodelphis umbristriata
Monodelphis glirina
Monodelphis palliolata
Monodelphis brevicaudata
Calomyscus bailwardi
Idiurus macrotis
Typhlomys cinereus
Calomyscus hotsoni
Spalax nehringi
Spalax graecus
Calomyscus mystax
Rhizomys sinensis
Calomyscus baluchi
Abrocoma famatina
Eospalax smithii
Pygeretmus zhitkovi
Pygeretmus platyurus
Euchoreutes naso
Eozapus setchuanus
Eremodipus lichtensteini
Pygeretmus pumilio
Stylodipus andrewsi
Stylodipus sungorus
Stylodipus telum
Allactodipus bobrinskii
Dipus sagitta
Paradipus ctenodactylus
Cardiocranius paradoxus
Lepus europaeus
Dasyurus albopunctatus
Dasyurus spartacus
Sicista napaea
Sicista caucasica
Sicista strandi
Sicista tianshanica
Sicista subtilis
Sicista caudata
Sicista pseudonapaea
Sicista armenica
Sicista kazbegica
Sicista severtzovi
Sicista kluchorica
Sicista concolor
Salpingotulus michaelis
Salpingotus kozlovi
Salpingotus crassicauda
Salpingotus heptneri
Salpingotus pallidus
Clyomys bishopi
Mesomys leniceps
Mesomys stimulax
Carterodon sulcidens
Mesomys occultus
Lonchothrix emiliae
Santamartamys rufodorsalis
Trinomys dimidiatus
Mesomys hispidus
Euryzygomatomys spinosus
Clyomys laticeps
Trinomys gratiosus
Olallamys edax
Isothrix pagurus
Phyllomys lamarum
Trinomys iheringi
Phyllomys nigrispinus
Trinomys mirapitanga
Trinomys eliasi
Trinomys yonenagae
Trinomys paratus
Trinomys moojeni
Phyllomys blainvillii
Phyllomys dasythrix
Phyllomys medius
Olallamys albicauda
Hoplomys gymnurus
Diplomys labilis
Trinomys albispinus
Trinomys myosuros
Trinomys setosus
Isothrix sinnamariensis
Pattonomys occasius
Pattonomys semivillosus
Phyllomys mantiqueirensis
Phyllomys lundi
Phyllomys kerri
Phyllomys pattoni
Phyllomys brasiliensis
Makalata rhipidura
Dactylomys peruanus
Diplomys caniceps
Makalata didelphoides
Makalata macrura
Phyllomys unicolor
Isothrix bistriata
Isothrix negrensis
Phyllomys thomasi
Callistomys pictus
Toromys grandis
Kannabateomys amblyonyx
Echimys chrysurus
Echimys vieirai
Echimys saturnus
Dactylomys dactylinus
Dactylomys boliviensis
Elephantulus revoili
Elephantulus rozeti
Elephantulus brachyrhynchus
Elephantulus edwardii
Elephantulus fuscus
Elephantulus pilicaudus
Elephantulus fuscipes
Elephantulus rupestris
Ochotona huangensis
Ochotona hyperborea
Ochotona turuchanensis
Ochotona forresti
Ochotona himalayana
Ochotona dauurica
Ochotona ladacensis
Ochotona argentata
Ochotona muliensis
Ochotona gaoligongensis
Ochotona hoffmanni
Ochotona nigritia
Ochotona curzoniae
Ochotona iliensis
Ochotona erythrotis
Ochotona gloveri
Ochotona koslowi
Ochotona macrotis
Ochotona nubrica
Ochotona rutila
Ochotona rufescens
Ochotona roylei
Arvicanthis nairobae
Arvicanthis ansorgei
Arvicanthis blicki
Arvicanthis rufinus
Arvicanthis abyssinicus
Arvicanthis neumanni
Neurotrichus gibbsii
Mogera tokudae
Desmana moschata
Dymecodon pilirostris
Uropsilus soricipes
Scaptonyx fusicaudus
Euroscaptor mizura
Uropsilus investigator
Uropsilus andersoni
Scapanulus oweni
Parascaptor leucura
Euroscaptor grandis
Euroscaptor longirostris
Uropsilus gracilis
Euroscaptor parvidens
Euroscaptor micrura
Mogera imaizumii
Mogera insularis
Mogera robusta
Euroscaptor klossi
Mogera etigo
Mogera uchidai
Scaptochirus moschatus
Mogera wogura
Cavia fulgida
Cavia magna
Cavia intermedia
Planigale novaeguineae
Rhipidomys mastacalis
Graomys domorum
Nesoryzomys swarthi
Megadontomys thomasi
Scapteromys aquaticus
Thomasomys bombycinus
Allocricetulus eversmanni
Kunsia tomentosus
Ellobius lutescens
Ichthyomys tweedii
Sooretamys angouya
Holochilus sciureus
Xenomys nelsoni
Nectomys magdalenae
Isthmomys pirrensis
Scapteromys tumidus
Holochilus brasiliensis
Kunsia fronto
Chinchillula sahamae
Nectomys squamipes
Holochilus chacarius
Amphinectomys savamis
Isthmomys flavidus
Lundomys molitor
Nectomys rattus
Neofiber alleni
Hodomys alleni
Lophiomys imhausi
Orthogeomys thaeleri
Orthogeomys matagalpae
Pappogeomys alcorni
Pappogeomys bulleri
Cratogeomys fumosus
Orthogeomys cherriei
Orthogeomys underwoodi
Cratogeomys castanops
Cratogeomys fulvescens
Cratogeomys planiceps
Cratogeomys perotensis
Cratogeomys goldmani
Cratogeomys merriami
Orthogeomys dariensis
Zygogeomys trichopus
Orthogeomys cuniculus
Orthogeomys hispidus
Orthogeomys grandis
Orthogeomys lanius
Orthogeomys heterodus
Orthogeomys cavator
Leporillus apicalis
Microcavia shiptoni
Microcavia niata
Microcavia australis
Mesocricetus raddei
Mesocricetus newtoni
Taphozous hilli
Taphozous perforatus
Taphozous longimanus
Taphozous melanopogon
Taphozous kapalgensis
Taphozous mauritianus
Taphozous australis
