Eligmodontia typus
Chrotogale owstoni
Dasypus novemcinctus
Cynogale bennettii
Euphractus sexcinctus
Macrogalidia musschenbroekii
Viverra megaspila
Dorcatragus megalotis
Caracal aurata
Cephalophus zebra
Eudorcas rufifrons
Rusa timorensis
Cephalophus jentinki
Rangifer tarandus
Blastocerus dichotomus
Canis mesomelas
Petrogale assimilis
Mustela altaica
Bdeogale crassicauda
Tamandua tetradactyla
Raphicerus melanotis
Alopex lagopus
Vulpes zerda
Cheirogaleus major
Cephalophus natalensis
Muntiacus feae
Solenodon paradoxus
Bassaricyon beddardi
Felis chaus
Mico humeralifer
Marmota caligata
Redunca fulvorufula
Artibeus jamaicensis
Hyemoschus aquaticus
Glaucomys volans
Cynictis penicillata
Mustela itatsi
Madoqua guentheri
Bdeogale nigripes
Cephalophus callipygus
Mustela felipei
Urocyon cinereoargenteus
Capra walie
Otocyon megalotis
Muntiacus montanus
Pipistrellus pipistrellus
Cephalophus ogilbyi
Petrogale penicillata
Echinops telfairi
Macropus dorsalis
Sciurus niger
Muntiacus atherodes
Priodontes maximus
Axis kuhlii
Potorous longipes
Hypogeomys antimena
Dobsonia moluccensis
Canis rufus
Nanger granti
Mazama americana
Gazella cuvieri
Dendrohyrax arboreus
Galidictis fasciata
Muntiacus gongshanensis
Hydrochoerus hydrochaeris
Chrysocyon brachyurus
Otocolobus manul
Cuon alpinus
Manis crassicaudata
Babyrousa togeanensis
Cephalophus weynsi
Macropus parryi
Potamochoerus larvatus
Tragulus williamsoni
Sus celebensis
Martes zibellina
Capra aegagrus
Cuniculus paca
Dasyprocta leporina
Vulpes vulpes
Muntiacus puhoatensis
Crossarchus alexandri
Herpestes smithii
Herpestes semitorquatus
Canis aureus
Arabitragus jayakari
Heterohyrax brucei
Gazella bennettii
Mazama bororo
Mungotictis decemlineata
Viverra civettina
Viverra tangalunga
Prionailurus rubiginosus
Mazama gouazoubira
Meles meles
Melogale everetti
Pedetes capensis
Nanger dama
Vulpes corsac
Mazama nemorivaga
Cephalophus harveyi
Mico leucippe
Leopardus guigna
Leopardus tigrinus
Leopardus wiedii
Pardofelis badia
Prionailurus planiceps
Prionailurus viverrinus
Hydropotes inermis
Moschus moschiferus
Muntiacus crinifrons
Gazella spekei
Mazama pandora
Pteronura brasiliensis
Pantholops hodgsonii
Babyrousa celebensis
Sus verrucosus
Tragelaphus buxtoni
Procyon cancrivorus
Moschiola kathygre
Genetta thierryi
Phacochoerus africanus
Genetta servalina
Muntiacus rooseveltorum
Vulpes macrotis
Muntiacus putaoensis
Atilax paludinosus
Naemorhedus baileyi
Puma yagouaroundi
Beatragus hunteri
Marmota menzbieri
Redunca redunca
Procapra picticaudata
Cephalophus silvicultor
Pecari maximus
Redunca arundinum
Mazama nana
Moschiola indica
Mazama temama
Ratufa bicolor
Mustela strigidorsa
Dologale dybowskii
Tragulus versicolor
Prionailurus bengalensis
Aonyx congicus
Spilogale angustifrons
Herpestes flavescens
Meles leucurus
Vulpes velox
Mustela subpalmata
Lagidium peruanum
Pardofelis temminckii
Eptesicus fuscus
Mustela nudipes
Cephalophus nigrifrons
Muntiacus muntjak
Axis calamianensis
Capricornis swinhoei
Genetta piscivora
Sus oliveri
Rupicapra pyrenaica
Cryptomys anselli
Bassaricyon pauli
Sus ahoenobarbus
Melogale orientalis
Galidia elegans
Capra pyrenaica
Sus bucculentus
Nasuella olivacea
Gazella subgutturosa
Genetta tigrina
Marmota marmota
Bassaricyon lasius
Neofelis nebulosa
Genetta cristata
Genetta bourloni
Genetta johnstoni
Moschus anhuiensis
Cryptoprocta ferox
Moschus berezovskii
Moschus fuscus
Moschus leucogaster
Moschus cupreus
Mazama bricenii
Mazama rufina
Elaphodus cephalophus
Naemorhedus caudatus
Ammodorcas clarkei
Naemorhedus goral
Pseudois schaeferi
Naemorhedus griseus
Muntiacus vuquangensis
Axis porcinus
Capra cylindricornis
Capra caucasica
Kobus vardonii
Kobus megaceros
Capricornis sumatraensis
Capricornis milneedwardsii
Capricornis thar
Capricornis rubidus
Sus barbatus
Przewalskium albirostris
Sus cebifrons
Sus philippensis
Oryx beisa
Tragelaphus eurycerus
Rusa alfredi
Antidorcas marsupialis
Muntiacus truongsonensis
Macropus antilopinus
Leopardus colocolo
Dama mesopotamica
Hippocamelus bisulcus
Gulo gulo
Herpestes naso
Martes flavigula
Castor canadensis
Saguinus geoffroyi
Oryx leucoryx
Neofelis diardi
Procapra przewalskii
Tragulus nigricans
Eira barbara
Oreotragus oreotragus
Saguinus mystax
Procyon lotor
Hystrix africaeaustralis
Genetta abyssinica
Lutra maculicollis
Herpestes ichneumon
Genetta maculata
Lutra lutra
Nasua nasua
Desmodus rotundus
Fossa fossana
Paradoxurus hermaphroditus
Saguinus imperator
Leopardus geoffroyi
Ozotoceros bezoarticus
Equus ferus
Mydaus marchei
Nandinia binotata
Myotis mystacinus
Capra sibirica
Eupleres goudotii
Panthera uncia
Ovis orientalis
Capra nubiana
Rusa marianna
Ovis ammon
Bubalus quarlesi
Bubalus depressicornis
Budorcas taxicolor
Muntiacus reevesi
Viverra zibetha
Babyrousa babyrussa
Macropus robustus
Bassaricyon alleni
Nasua narica
Erethizon dorsatum
Leopardus pardalis
Paguma larvata
Taxidea taxus
Proteles cristata
Coendou prehensilis
Bassaricyon gabbii
Eulemur coronatus
Capreolus pygargus
Potamochoerus porcus
Capricornis crispus
Meles anakuma
Genetta angolensis
Bassariscus sumichrasti
Tayassu pecari
Genetta victoriae
Paradoxurus zeylonensis
Arctocephalus forsteri
Bubalus arnee
Bos gaurus
Bos sauveli
Myotis daubentonii
Lynx lynx
Hyaena hyaena
Lasiorhinus latifrons
Lynx canadensis
Dendrolagus matschiei
Alces americanus
Genetta poensis
Elaphurus davidianus
Vombatus ursinus
Delphinus delphis
Cephalorhynchus commersonii
Mellivora capensis
Panthera onca
Aonyx cinerea
Lutra sumatrana
Lontra provocax
Lutrogale perspicillata
Lontra felina
Arctictis binturong
Helarctos malayanus
Axis axis
Melursus ursinus
Tremarctos ornatus
Bubalus mindorensis
Eumetopias jubatus
Bos mutus
Equus kiang
Kobus ellipsiprymnus
Pteropus rodricensis
Phocoenoides dalli
Arctocephalus tropicalis
Tapirus pinchaque
Tapirus terrestris
Ommatophoca rossii
Tapirus bairdii
Monachus monachus
Tapirus indicus
Lama guanicoe
Myrmecophaga tridactyla
Potos flavus
Genetta genetta
Cercopithecus campbelli
Pteropus giganteus
Arctocephalus australis
Cercopithecus nictitans
Tolypeutes matacus
Genetta pardina
Pontoporia blainvillei
Neophoca cinerea
Lagenorhynchus acutus
Choloepus didactylus
Callorhinus ursinus
Okapia johnstoni
Lipotes vexillifer
Crocuta crocuta
Choeropsis liberiensis
Choloepus hoffmanni
Hydrurga leptonyx
Ailuropoda melanoleuca
Zalophus californianus
Rhinoceros sondaicus
Ateles belzebuth
Enhydra lutris
Orcaella brevirostris
Delphinapterus leucas
Tachyglossus aculeatus
Neophocaena phocaenoides
Hyperoodon ampullatus
Pagophilus groenlandicus
Lagenorhynchus obliquidens
Pusa hispida
Phoca largha
Pseudorca crassidens
Trichechus inunguis
Trichechus manatus
Dicerorhinus sumatrensis
Pusa sibirica
Stenella coeruleoalba
Balaenoptera acutorostrata
Megaptera novaeangliae
Peponocephala electra
Stenella attenuata
Balaenoptera borealis
Globicephala macrorhynchus
Globicephala melas
Monodon monoceros
Balaenoptera physalus
Berardius bairdii
Physeter macrocephalus
Balaenoptera edeni
Dugong dugon
Eschrichtius robustus
Balaenoptera musculus
Balaena mysticetus
Eligmodontia morgani
Eligmodontia moreni
Eligmodontia puerulus
Reithrodontomys montanus
Reithrodontomys raviventris
Reithrodontomys zacatecae
Reithrodontomys fulvescens
Reithrodontomys gracilis
Reithrodontomys brevirostris
Reithrodontomys darienensis
Reithrodontomys mexicanus
Reithrodontomys paradoxus
Reithrodontomys bakeri
Reithrodontomys chrysopsis
Reithrodontomys sumichrasti
Reithrodontomys burti
Reithrodontomys hirsutus
Reithrodontomys microdon
Reithrodontomys tenuirostris
Reithrodontomys spectabilis
Reithrodontomys creper
Reithrodontomys rodriguezi
Lemmus amurensis
Lemmus sibiricus
Lemmus portenkoi
Lemmus trimucronatus
Oryzomys dimidiatus
Oryzomys curasoae
Oryzomys gorgasi
